Lon,Lat,Prev Full Moon UTC,Next Full Moon UTC,Dawn Start Local,tag,days
-180,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T12:33:46.102632+00:00,migrated,29
-179,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T12:29:47.759096+00:00,migrated,29
-178,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T12:25:49.414434+00:00,migrated,29
-177,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T12:21:51.068648+00:00,migrated,29
-176,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T12:17:52.721741+00:00,migrated,29
-175,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T12:13:54.373716+00:00,migrated,29
-174,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T12:09:56.024575+00:00,migrated,29
-173,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T12:05:57.674320+00:00,migrated,29
-172,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T12:01:59.322954+00:00,migrated,29
-171,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:58:00.970479+00:00,migrated,29
-170,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:54:02.616898+00:00,migrated,29
-169,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:50:04.262213+00:00,migrated,29
-168,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:46:05.906427+00:00,migrated,29
-167,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:42:07.549541+00:00,migrated,29
-166,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:38:09.191559+00:00,migrated,29
-165,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:34:10.832483+00:00,migrated,29
-164,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:30:12.472314+00:00,migrated,29
-163,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:26:14.111056+00:00,migrated,29
-162,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:22:15.748712+00:00,migrated,29
-161,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:18:17.385282+00:00,migrated,29
-160,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:14:19.020769+00:00,migrated,29
-159,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:10:20.655177+00:00,migrated,29
-158,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:06:22.288506+00:00,migrated,29
-157,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T11:02:23.920761+00:00,migrated,29
-156,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:58:25.551941+00:00,migrated,29
-155,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:54:27.182051+00:00,migrated,29
-154,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:50:28.811093+00:00,migrated,29
-153,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:46:30.439068+00:00,migrated,29
-152,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:42:32.065979+00:00,migrated,29
-151,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:38:33.691828+00:00,migrated,29
-150,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:34:35.316618+00:00,migrated,29
-149,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:30:36.940350+00:00,migrated,29
-148,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:26:38.563028+00:00,migrated,29
-147,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:22:40.184653+00:00,migrated,29
-146,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:18:41.805227+00:00,migrated,29
-145,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:14:43.424753+00:00,migrated,29
-144,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:10:45.043232+00:00,migrated,29
-143,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:06:46.660668+00:00,migrated,29
-142,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T10:02:48.277062+00:00,migrated,29
-141,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:58:49.892417+00:00,migrated,29
-140,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:54:51.506734+00:00,migrated,29
-139,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:50:53.120016+00:00,migrated,29
-138,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:46:54.732265+00:00,migrated,29
-137,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:42:56.343483+00:00,migrated,29
-136,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:38:57.953673+00:00,migrated,29
-135,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:34:59.562836+00:00,migrated,29
-134,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:31:01.170975+00:00,migrated,29
-133,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:27:02.778091+00:00,migrated,29
-132,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:23:04.384187+00:00,migrated,29
-131,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:19:05.989266+00:00,migrated,29
-130,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:15:07.593328+00:00,migrated,29
-129,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:11:09.196377+00:00,migrated,29
-128,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:07:10.798414+00:00,migrated,29
-127,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T09:03:12.399441+00:00,migrated,29
-126,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:59:13.999461+00:00,migrated,29
-125,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:55:15.598475+00:00,migrated,29
-124,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:51:17.196486+00:00,migrated,29
-123,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:47:18.793496+00:00,migrated,29
-122,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:43:20.389506+00:00,migrated,29
-121,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:39:21.984519+00:00,migrated,29
-120,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:35:23.578537+00:00,migrated,29
-119,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:31:25.171562+00:00,migrated,29
-118,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:27:26.763595+00:00,migrated,29
-117,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:23:28.354640+00:00,migrated,29
-116,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:19:29.944698+00:00,migrated,29
-115,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:15:31.533770+00:00,migrated,29
-114,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:11:33.121859+00:00,migrated,29
-113,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:07:34.708968+00:00,migrated,29
-112,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T08:03:36.295097+00:00,migrated,29
-111,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:59:37.880249+00:00,migrated,29
-110,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:55:39.464426+00:00,migrated,29
-109,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:51:41.047630+00:00,migrated,29
-108,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:47:42.629862+00:00,migrated,29
-107,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:43:44.211125+00:00,migrated,29
-106,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:39:45.791421+00:00,migrated,29
-105,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:35:47.370752+00:00,migrated,29
-104,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:31:48.949119+00:00,migrated,29
-103,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:27:50.526525+00:00,migrated,30
-102,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:23:52.102970+00:00,migrated,30
-101,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:19:53.678459+00:00,migrated,30
-100,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:15:55.252991+00:00,migrated,30
-99,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T07:11:56.826570+00:00,migrated,30
